Name,h2,h3,h4,h5,h6,url
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr David J Pinato,Dr Anna Pinto,Dr Michael W Platt MA MB BS FRCA,Dr Jennifer F Ploski,Miss Karen Pontifex,Miss Anna Louise Pouncey BM BCh,BA (Hons.), MRCS (Eng.),Professor Janet T Powell,Miss Sue Powell,Dr Danielle A Power,Dr Philip Pratt,Ms Jessica L Prestt,Professor Patricia M Price,Dr Matthew S Prime,Mr Denys Prociuk,Miss Pantelitsa Protopapa,Dr Ares Protopapas MSc. (DIC) FRCS (Glasg),Mr Philip H L Pucher,Miss Aiysha M C Puri,Mr Sanjay Purkayastha BSc(Hons),MBBS(Hons),MD,FRCS,Professor Sudipta Purkayastha,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=48"
"A-Z people,Contact & Links","Imperial,Alert,Main Navigation,School of Public Health,About us,@ImperialSPH,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Mr Joseph M Levermore,Dr Alexandra M Lewin,Ms Angela E Lewis,Dr Joanna E A Lewis,Dr Guangquan Li,Mr Ka-Chun Li,Dr Xiang Li,Dr Zhou Li,Dr Christina M Lill,Ms Jane E Lillywhite,Mr Shanon Lim,Professor Marc Lipsitch,Ms Emma Littlewood,Dr Xinxue Liu,Dr Silvia Liverani,Dr Karen M Logan,Dr Marie Loh,Dr Nicholas T Longford,Dr Celeste A Loots,Dr Camila Lorenz,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/school-public-health/about-us/a-z-people/?instanceid=%2fmedicine%2fpublichealth%2faboutus%2fazpeople&pplist-action=people.html&page=40"
"A-Z our people,Contact & Links","Imperial,Alert,Main Navigation,National Heart and Lung Institute,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr James S Ware,Emeritus Professor John Warner OBE, FMedSci,Dr Rahat S Warraich,Dr Glenda Watson,Dr Marion Watson,Dr Timothy J Watts BSc, MBBS, MRCP,Miss Rebecca E Wawman,Dr Carolyn Webb,Professor Wisia Wedzicha,Dr Mark E Weeks,Miss Jennifer A Welch,Miss Sophie Penelope Welch,Professor Athol U Wells,Mrs Charlotte E Wells,Mr Approver1 WH,Mr Buyer1 WH,Dr John Wharton,Mr Approver1 WHC,Mr Buyer1 WHC,Miss Magda A Wheatley,Faculty of Medicine,More on NHLI,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/nhli/about-us/a-z-our-people/?instanceid=%2fmedicine%2fnational-heart-and-lung-institute%2fabout-us%2fpeople%2f&pplist-action=people.html&page=47"
",Dr Jayant Kumar, MD, MS, Master in HBP Surgery, MRCS(Ed), FACS, PhD,,A-Z People,Contact & Links","Summary,AffIlIATION,Biosketch,Selected Publications,Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Contact,Location,Summary,Journal Articles,Links,Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Mr Cedric Maillot,Professor Kath Maitland,Dr Anna Maria Malagoni,Dr Surbhi Malhotra,Mr Georgios Malietzis,Dr Rachita Mallya,Dr Ripple Man,Dr Kavina Manalan,Dr Stefania Manetti,Mrs Raleigh A Mangsat,Dr Victoria L Manning,Emeritus Professor Averil O Mansfield CBE,Mr Stephen W Marchington,Mr Hani J Marcus,Dr Nandor Marczin,Dr Luc G P Marechal,Dr Sheraz R Markar,Miss Ola Markiewicz,Mr Alex Marsh,Mrs Laura Marshall,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/people/j.kumar, http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=37"
"All staff,Contact & Links","Imperial,Alert,Main Navigation,Department of Earth Science and Engineering,People,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Professor Jenny Collier,Professor Gareth S Collins,Professor John W Cosgrove,Dr Alison A Cowan,Dr Steven Dargaville,Dr Rhodri Davies,Dr Simon Davis,Dr Thomas M Davison,Dr Richard G Davy,Dr Elizabeth Day,Mr Emanuel R De Abreu,Mrs Claire H Dilliway,Mr Thomas D Dray,Professor Olivier Dubrule,Professor Sevket Durucan,Dr Evgeny Dyshlyuk,Professor Gioia Falcone,Dr Fangxin Fang,Dr Ado Farsi,Mr Geraldo Fiorini Neto,Contact the Department,Follow,Department of Earth Science and Engineering,Get in touch,Join the department,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/earth-science/people/all-staff/?instanceid=%2fengineering%2fdepartments%2fearth-science%2fpeople&pplist-action=people.html&page=3"
"All staff,Contact & Links","Imperial,Alert,Main Navigation,Department of Earth Science and Engineering,People,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Contact the Department,Follow,Department of Earth Science and Engineering,Get in touch,Join the department,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information",No data,No data,No data,", http://www.imperial.ac.uk/earth-science/people/all-staff/?instanceid=%2fengineering%2fdepartments%2fearth-science%2fpeople&pplist-action=people.html&page=14"
Moved Permanently,No data,No data,No data,No data,No data,", http://www.bloomberg.com/research/stocks/private/person.asp?personId=6256895&privcapId=280548953, https://twitter.com/vgul?lang=en, https://wwwf.imperial.ac.uk/business-school/research/innovation-and-entrepreneurship/people/adjunct-professors/"
"Object Moved,301 Moved Permanently,Professor             Jonathan Valabhji OBE,","Contact,Background,Expertise,Research & publications,Private practice,Connect with us",No data,No data,No data,No data,", http://www.imperial.ac.uk/department-of-medicine/people-a-z/?instanceid=%2fmedicine%2fdepartment-of-medicine%2fkey-individuals%2f&pplist-action=people.html&page=190, http://imperialprivatehealthcare.co.uk/consultants-directory/name/jonathan-valabhji/, https://www.imperial.nhs.uk/consultant-directory/jonathan-valabhji"
Moved Permanently,No data,No data,No data,No data,No data,", https://wwwf.imperial.ac.uk/business-school/research/innovation-and-entrepreneurship/people/adjunct-professors/"
"Moved Permanently,,Dr Savitar Sundaresan,","Summary,Publications","Contact,Location,Summary,Journals,Links",No data,No data,No data,", https://wwwf.imperial.ac.uk/business-school/research/finance/people/, http://www.imperial.ac.uk/people/s.sundaresan"
